Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Pct_Change
    USA,"35,514","31,166","37,102","33,454","32,108","39,016","41,162","34,194","27,932","36,697","34,311","34,334","416,990",12.5
Indonesia,"173,639","143,917","165,942","162,800","185,757","214,392","232,528","165,483","243,763","178,903","175,969","262,056","2,305,149",32.1
Malaysia,"67,941","68,663","81,745","77,441","81,867","93,070","82,592","75,867","95,455","82,745","99,933","129,599","1,036,918",35.7
Philippines,"32,703","32,510","43,955","54,448","55,307","44,484","43,440","39,244","40,662","52,007","50,092","55,492","544,344",26
Thailand,"24,635","23,153","31,813","50,655","38,921","30,710","37,256","34,790","30,709","57,950","30,192","39,238","430,022",35.3
Vietnam,"19,109","20,477","21,336","26,680","26,152","35,586","43,859","32,843","24,331","24,691","21,246","26,543","322,853",21.6
    Hong Kong SAR,"19,415","24,904","26,245","35,560","32,045","32,190","46,726","46,695","28,467","32,833","29,847","32,625","387,552",31.6
    Japan,"37,747","40,666","51,834","35,160","36,819","36,447","44,646","56,644","44,999","43,493","51,527","48,835","528,817",7.9
    P R China,"98,918","143,050","88,031","91,701","71,628","69,080","117,775","130,566","74,434","92,600","93,998","99,556","1,171,337",25
    South Korea,"39,437","29,589","30,113","24,781","32,159","30,032","32,668","34,169","25,653","29,008","27,814","25,250","360,673",32.6
    Taiwan,"15,510","17,737","15,219","14,508","17,111","13,542","23,933","20,959","13,486","13,851","13,131","12,186","191,173",22
India,"57,404","46,061","53,965","73,214","115,955","83,467","64,905","57,107","54,825","75,567","72,918","73,515","828,903",14.2
UK,"44,522","47,559","54,444","41,335","29,283","25,731","31,804","34,984","31,688","37,573","43,240","39,551","461,714",-1.7
Australia,"89,584","55,364","63,656","70,076","63,512","74,593","87,279","68,209","80,282","77,092","64,145","86,694","880,486",6
