Country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total,Pct_Change
USA,48852,42751,46658,39357,38422,46155,47089,38116,33267,40277,44968,50542,516454,3.4
Indonesia,249876,216285,238160,215354,258606,235447,319762,210627,186620,213070,219845,329994,2893646,5.9
Malaysia,87208,85850,98135,97070,92668,91902,100397,81656,93519,92736,101547,128896,1151584,-1.7
Philippines,44334,47217,58963,74245,76646,56702,55005,50362,45807,57924,55814,68624,691643,2.7
Thailand,44330,38650,48381,62514,52331,36983,49788,39434,36912,58094,35520,43618,546555,5.8
Vietnam,29145,35731,33122,38398,40046,52450,59801,46779,32789,32192,33482,35494,469429,12.2
Hong Kong SAR,34742,49837,58341,42712,39959,42330,69847,70843,30252,31512,30832,36763,537970,-11.8
Japan,62275,65604,79146,49613,55006,54993,64715,93619,68998,62858,64466,62570,783863,-0.7
China,229150,277926,241230,269560,234089,221614,311126,315556,170229,173185,193984,226020,2863669,36
South Korea,74180,57595,40959,41356,44932,43766,54700,62018,37743,34346,36314,38601,566510,-1.8
Taiwan,37087,42569,27401,33107,28809,36718,46691,42275,30267,26270,21568,21454,394216,4.3
India,81363,64702,78859,94578,141987,112027,87919,80980,75079,94649,90734,94323,1097200,8.2
UK,48408,48371,54782,45545,27656,24403,37256,43288,36521,43834,39708,39452,489224,3.3
Australia,117073,61900,78701,93320,64175,77805,103689,78888,92211,85395,73308,100849,1027314,-1.6
