Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Pct_Change
    USA,"36,447","33,006","39,004","31,189","30,862","35,304","39,087","32,440","25,160","31,842","30,713","31,577","396,631",-3
    Indonesia,"155,708","124,940","155,238","131,809","137,243","154,546","168,492","134,811","144,158","158,276","119,530","180,678","1,765,429",-10
    Malaysia,"45,984","50,318","56,359","53,749","52,115","53,217","46,968","44,118","44,892","54,973","60,463","84,324","647,480",0.3
    Philippines,"24,635","28,674","37,117","39,347","41,872","33,708","34,135","34,984","34,314","38,577","34,208","37,367","418,938",0
    Thailand,"25,851","23,320","31,641","36,226","30,487","26,211","28,884","25,901","24,530","34,193","21,914","24,747","333,905",-5.5
    Vietnam,"12,927","17,171","17,961","19,097","18,193","27,272","29,462","24,828","16,065","18,719","17,701","19,903","239,299",17.8
    Hong Kong SAR,"19,817","27,263","27,600","20,232","22,867","23,055","28,218","26,847","20,765","20,016","19,197","22,238","278,115",-7.9
    Japan,"52,973","47,449","57,364","36,301","42,382","40,879","47,659","53,699","48,771","47,736","48,225","47,602","571,040",-4
    P R China,"108,486","121,031","98,180","107,639","86,785","70,565","105,528","91,325","66,582","76,836","79,096","66,689","1,078,742",-3.2
    South Korea,"50,432","40,998","39,683","33,946","36,412","35,998","39,614","42,338","25,914","30,930","24,445","22,308","423,018",-8.9
    Taiwan,"16,342","17,829","13,778","13,944","14,276","13,146","19,398","16,923","12,303","13,503","12,535","11,947","175,924",-15.5
    India,"58,365","49,078","57,776","62,908","103,468","84,143","63,373","58,626","53,488","67,510","56,927","62,641","778,303",4
  UK,"47,607","51,178","61,263","41,645","29,785","27,578","33,476","39,090","34,246","39,720","43,739","43,606","492,933",-0.6
  Australia,"82,778","52,457","61,681","63,079","65,901","73,802","79,776","65,465","72,816","75,866","60,257","79,278","833,156",8.4
