Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Pct_Change
    Indonesia,"158,510","120,382","153,855","142,560","155,604","180,643","193,024","159,570","136,054","215,886","136,473","209,494","1,962,055",2.1
    Malaysia,"45,147","48,175","52,269","51,360","51,348","59,152","50,725","55,293","49,733","58,591","55,020","68,961","645,774",1.8
    Philippines,"27,798","30,588","39,195","43,107","42,047","35,997","35,032","34,096","32,523","36,179","32,059","30,154","418,775",8.5
    Thailand,"25,863","22,575","33,087","34,500","30,555","29,419","32,250","29,149","27,135","36,655","26,309","25,919","353,416",-0.8
    Vietnam,"12,555","11,969","14,060","15,553","14,995","23,153","24,935","23,778","15,574","14,631","15,333","16,674","203,210",23.1
    Hong Kong SAR,"19,559","26,025","22,361","29,338","25,261","25,551","31,990","32,177","22,902","23,224","22,638","21,084","302,110",3.7
    Japan,"49,959","46,920","58,843","37,962","38,813","41,289","49,234","58,288","54,186","51,825","53,784","53,411","594,514",0
    P R China,"76,116","111,934","79,239","99,136","85,198","77,239","108,881","114,463","76,181","83,831","103,906","97,832","1,113,956",7.4
    South Korea,"46,756","31,464","42,071","32,219","34,408","38,027","46,123","45,910","30,265","33,383","43,965","39,701","464,292",2.1
    Taiwan,"17,156","23,307","16,091","15,343","14,952","16,868","24,849","21,028","16,276","14,426","13,742","14,118","208,156",-5.2
  UK,"51,913","50,663","57,778","42,338","29,518","27,587","34,662","38,607","32,983","41,140","44,794","43,710","495,693",1.5
    USA,"36,947","30,990","38,849","30,253","31,180","34,838","39,483","33,668","27,391","34,968","34,509","35,809","408,885",2.3
  Australia,"68,190","40,252","52,493","58,557","58,832","66,784","75,658","62,205","71,269","74,693","60,543","79,014","768,490",11.1
    India,"52,339","42,507","53,444","59,244","97,637","80,829","58,731","56,204","55,188","59,747","63,189","69,669","748,728",13.6
