Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Pct_Change
USA,45736,40696,46881,38908,36909,45860,45176,39079,33741,37555,39620,41785,491946,3.1
Indonesia,254725,196059,259244,218602,251092,295907,260700,328174,218751,246115,238233,321257,3088859,8.9
Malaysia,89300,91895,108683,95414,109517,107286,93299,116392,98973,98097,129955,142131,1280942,4
Philippines,44201,44540,63521,73215,76929,55868,49225,51817,47879,61360,55195,64044,687794,4.7
Thailand,32897,30311,44202,54728,48171,36018,41912,36548,36254,58887,34685,42796,497409,4.1
Vietnam,22879,28981,27732,31863,30496,42194,47834,34980,28276,29011,27353,28896,380495,3.9
Hong Kong SAR,32438,48473,50220,40252,40898,43857,67662,61337,33514,37570,38801,44788,539810,14.3
Japan,62857,68442,87359,53292,55491,57757,70113,92179,73786,68034,72603,70932,832845,10
P R China,189107,252958,205790,227870,198429,166890,248635,242256,179130,117955,119618,121232,2269870,11.6
South Korea,53193,40229,36755,31296,33857,36409,41913,45986,35599,40157,40388,35986,471768,6
Taiwan,32717,39087,22606,24261,22261,29680,47290,40571,27180,23246,22197,19212,350308,24.1
India,71162,59665,70480,76103,122030,99754,73550,66274,64556,72429,74389,83161,933553,4.3
UK,42973,44589,52508,38605,27714,28855,35340,39525,36525,36479,39363,38983,461459,3.4
Australia,119592,69470,87652,94285,84444,91231,112743,79221,105179,96454,78324,106584,1125179,7.1
