Month,Year,    USA,    Indonesia,    Malaysia,    Philippines,    Thailand,    Japan,China,Korea,    India,  UK,  Australia
Jan,2012,"2,684","68,441","4,327","2,436",544,"2,898","11,120","8,710","3,755","1,667","3,868"
Feb,2012,"3,125","57,241","4,851","2,889",696,"4,563","5,711","8,143","6,721","6,281","2,675"
Mar,2012,"5,866","62,925","6,340","3,271",724,"3,262","3,645","6,340","6,345","7,830","5,259"
Apr,2012,"2,616","59,282","5,094","3,323","1,003","3,138","3,391","5,494","5,982","3,455","3,172"
May,2012,"1,966","66,646","6,154","3,807",714,"2,982","3,355","5,495","12,111","1,647","3,733"
Jun,2012,"1,181","70,199","8,332","2,857",613,"2,478","3,119","5,469","11,399",981,"4,366"
Jul,2012,"1,177","71,186","6,677","2,006",555,"2,673","6,041","6,323","7,040","1,010","3,064"
Aug,2012,"1,157","82,192","7,646","2,002",725,"4,369","7,661","7,942","6,185","1,320","4,009"
Sep,2012,883,"53,549","6,004","2,172",544,"3,445","2,525","3,942","4,650","1,052","2,689"
Oct,2012,"3,763","63,051","4,962","2,665",675,"2,396","7,060","5,665","6,530","3,206","4,442"
Nov,2012,"3,238","71,551","7,080","3,074",768,"3,594","3,928","5,623","8,340","2,824","4,800"
Dec,2012,"3,908","99,608","8,790","2,964",937,"3,106","4,796","4,899","7,415","2,281","4,272"
JAN,2013,"3,453","69,115","4,136","2,087",748,"3,535","5,710","9,011","7,333","2,499","4,954"
FEB,2013,"5,212","60,673","4,957","2,293",580,"2,204","16,055","5,821","5,832","4,586","2,448"
MAR,2013,"5,164","72,445","5,830","3,696",863,"3,601","3,989","7,133","6,058","6,116","7,165"
APR,2013,"4,063","61,267","4,650","3,437","1,014","3,073","4,126","5,587","5,670","3,186","5,259"
MAY,2013,"1,344","75,264","6,246","3,795","1,013","2,341","6,175","5,367","13,496","1,227","5,447"
JUN,2013,"2,651","80,555","7,386","2,889",728,"2,269","4,195","5,852","11,544","1,746","2,497"
JUL,2013,"1,311","67,736","5,880","1,933",718,"3,815","7,415","5,323","7,386",975,"4,641"
AUG,2013,"1,948","86,353","8,186","2,350",694,"4,777","9,908","5,870","6,403","1,594","2,006"
SEP,2013,"1,125","55,936","7,235","1,899",664,"3,234","3,110","4,970","5,195","1,155","4,064"
OCT,2013,"3,005","64,956","5,034","2,805",973,"2,677","5,518","6,081","6,354","2,414","3,814"
NOV,2013,"3,011","66,432","9,193","3,013",910,"3,348","5,097","7,700","9,158","2,999","4,342"
DEC,2013,"3,073","94,818","10,049","3,149","1,314","3,501","5,461","5,571","7,743","2,632","4,098"
JAN,2014,"3,454","74,718","3,523","2,604","1,144","2,870","10,351","8,967","5,091","2,716","8,288"
FEB,2014,"5,282","63,642","5,056","2,668",930,"3,888","18,893","9,175","6,960","4,550","3,465"
MAR,2014,"6,115","68,690","5,781","3,456",798,"4,075","4,955","7,693","6,344","7,072","6,460"
APR,2014,"2,720","63,833","3,502","2,637",751,"1,813","4,571","6,081","5,699","3,604","8,523"
MAY,2014,"1,002","76,302","3,983","2,878",670,"1,806","4,168","4,752","12,108",849,"2,841"
JUN,2014,"1,115","76,351","5,135","2,152",538,"1,539","3,930","4,561","9,661",734,"1,430"
JUL,2014,"1,349","88,994","4,489","2,239",633,"2,290","9,782","4,757","6,697",911,"4,323"
AUG,2014,"1,259","63,478","3,765","2,055",684,"3,508","11,162","7,215","6,568","1,208","3,227"
SEP,2014,"1,491","62,566","4,418","1,885",594,"2,007","3,641","5,175","4,341","1,187","2,349"
OCT,2014,"3,299","67,080","4,532","2,360",761,"2,268","6,269","6,139","9,218","2,657","5,499"
NOV,2014,"3,303","71,169","7,201","2,733",806,"2,620","5,651","6,704","8,153","2,843","3,549"
DEC,2014,"3,704","113,196","12,169","3,294","1,003","2,803","5,067","5,745","8,360","3,160","5,566"
JAN,2015,"5,246","74,485","3,876","2,902","1,037","3,595","6,112","11,299","8,251","4,390","11,700"
FEB,2015,"7,204","66,393","4,442","2,332",974,"1,932","19,561","7,541","6,299","7,662","7,208"
MAR,2015,"5,627","68,402","3,758","2,575","1,188","2,262","5,430","7,695","6,369","5,787","5,653"
APR,2015,"2,184","67,386","3,237","2,635",669,"2,775","4,102","6,748","6,499","2,786","7,381"
MAY,2015,"1,085","75,287","4,169","2,719",672,"1,619","3,905","5,962","13,716","1,088","6,109"
JUN,2015,"2,728","71,020","4,344","2,222",742,"2,042","3,965","4,173","12,230","1,589","2,845"
JUL,2015,"1,108","93,375","4,122","1,992",497,"3,889","9,275","4,123","9,385",922,"2,135"
AUG,2015,"1,276","64,753","4,245","2,154",530,"4,290","11,962","6,340","5,669","1,512","5,524"
SEP,2015,"1,336","57,592","4,191","2,208",536,"2,399","4,621","4,308","5,772","1,639","4,260"
OCT,2015,"3,269","62,825","3,406","3,144",605,"1,819","6,208","7,314","7,903","3,104","8,125"
NOV,2015,"3,792","67,130","8,254","3,160","1,309","3,268","4,485","7,251","11,517","4,823","4,845"
DEC,2015,"4,827","114,019","10,739","3,767","1,084","2,993","4,578","5,877","10,141","3,628","7,738"
JAN,2016,"6,292","79,023","5,448","3,144","1,130","3,057","7,790","10,997","11,279","5,200","11,589"
FEB,2016,"5,514","75,232","5,237","3,100",835,"2,432","16,958","8,087","6,933","4,984","4,272"
MAR,2016,"6,190","74,223","4,340","3,113",719,"2,395","3,679","7,486","7,768","6,557","8,090"
APR,2016,"2,915","67,300","3,213","3,100",925,"2,105","4,041","5,591","9,322","5,980","12,113"
MAY,2016,"1,020","84,678","4,318","3,705","1,059","2,034","3,808","5,267","17,092",767,"1,114"
JUN,2016,"1,950","68,107","4,251","2,524",679,"1,482","4,096","4,437","15,447","1,289","2,179"
JUL,2016,"1,236","96,002","4,427","2,379",676,"1,756","8,003","4,348","10,893","1,069","5,524"
AUG,2016,"1,004","65,086","3,259","2,358",667,"3,874","9,258","5,726","9,858","1,565","7,551"
SEP,2016,823,"55,429","3,716","2,137",522,"1,824","3,196","3,254","7,847",927,"3,248"
OCT,2016,"3,774","66,242","4,996","2,931","1,266","1,495","4,306","4,040","9,028","4,866","5,620"
NOV,2016,"4,284","72,985","9,484","3,450","1,202","2,187","3,611","4,754","14,748","3,314","3,525"
DEC,2016,"5,372","111,505","10,438","3,821",947,"2,735","4,648","3,707","10,257","3,915","5,852"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
