Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Pct_Change
    USA,"28,845","26,724","32,022","28,287","26,832","32,615","37,270","32,539","25,190","32,734","34,402","33,244","370,704",-6.5
    Indonesia,"118,342","103,501","128,446","126,815","129,444","159,603","169,634","131,985","182,901","137,011","143,014","214,634","1,745,330",-1.1
    Malaysia,"44,243","45,726","59,660","51,299","54,995","61,465","54,087","61,893","68,008","69,426","82,747","110,760","764,309",18
    Philippines,"26,249","28,911","35,718","44,622","42,460","33,487","32,072","35,930","35,289","38,367","37,810","41,157","432,072",3.1
    Thailand,"22,661","23,335","28,055","32,151","27,066","24,479","26,643","23,533","23,587","35,977","23,588","26,830","317,905",-4.8
    Vietnam,"19,870","19,292","18,307","21,663","20,397","28,171","32,814","24,506","17,520","20,939","19,905","22,030","265,414",10.9
    Hong Kong SAR,"23,399","19,720","21,290","28,587","21,529","21,703","33,382","36,218","21,509","25,512","20,525","21,046","294,420",5.9
    Japan,"38,382","42,807","46,797","31,633","29,800","28,060","46,633","50,698","52,561","43,247","38,949","40,420","489,987",-14.2
    China,"105,144","80,037","91,275","86,525","52,058","41,650","72,326","86,530","59,588","83,273","90,358","87,983","936,747",-13.2
    South Korea,"25,516","27,387","20,759","21,323","21,854","20,991","30,389","32,332","15,714","16,069","19,620","20,033","271,987",-35.7
    Taiwan,"15,986","12,744","12,542","11,970","11,602","11,486","17,351","17,490","10,443","13,208","11,900","10,039","156,761",-10.9
    India,"46,752","42,275","46,779","55,994","90,395","78,538","65,978","54,631","57,110","67,239","49,836","70,097","725,624",-6.8
  UK,"41,540","47,245","52,832","41,612","29,410","26,538","34,303","37,578","34,738","40,654","43,724","39,582","469,756",-4.7
  Australia,"80,008","51,144","54,821","65,046","59,136","65,796","79,439","67,152","73,407","81,622","68,570","84,158","830,299",-0.3
