Country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total,Pct_Change
USA,46845,42427,48341,36186,37117,44929,45139,39090,32749,39683,41457,45546,499509,3
Indonesia,236295,184183,211347,207138,238688,238403,305600,205671,187629,204574,200687,311475,2731690,-9.7
Malaysia,86193,82408,101929,90515,100340,100074,102347,88834,93334,88338,106214,130551,1171077,-5
Philippines,42839,41155,53649,72259,72159,53329,49724,52997,48209,58357,60583,68114,673374,-0.5
Thailand,36798,29889,43504,47838,45674,40121,45729,39579,39567,63693,38576,45441,516409,2
Vietnam,28632,28150,30907,36472,35974,45490,54711,39519,28282,30686,29284,30159,418266,-1.4
Hong Kong SAR,34012,46985,41803,58959,45742,45453,82817,89436,40315,41272,37241,45853,609888,-3.4
Japan,58479,62422,79941,46687,52971,53257,67682,92793,73972,66416,67840,66719,789179,-4.3
China,140548,238011,130827,153784,141375,144533,246819,267122,149929,165649,158736,168831,2106164,22.3
South Korea,71820,51415,42872,41602,43883,37193,48375,60468,39063,50582,44988,44821,577082,7.5
Taiwan,30685,40059,24694,29229,25498,30565,50278,45292,27836,27525,24062,22303,378026,12
India,73605,60016,70302,84041,130511,101773,83806,77137,69846,86649,88350,87950,1013986,7.5
UK,44909,47046,50729,39808,28113,25533,36628,41068,37361,40852,42022,39741,473810,4.8
Australia,115584,65009,70708,83497,73965,82755,97583,83063,97071,96340,76369,101624,1043568,-2.9
