Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Pct_Change
USA,"38,922","41,970","45,720","35,169","36,739","43,468","44,265","36,979","32,008","38,016","40,170","43,787","477,213",8.3
Indonesia,"230,500","211,738","227,695","214,289","228,359","253,510","246,772","276,938","195,481","215,668","229,432","307,155","2,837,537",9.5
Malaysia,"88,969","88,451","108,054","96,892","99,568","107,356","90,449","107,841","90,484","93,945","124,008","135,669","1,231,686",8.0
Philippines,"42,248","50,931","58,682","75,052","72,484","49,957","45,249","45,775","46,880","56,058","55,125","58,363","656,804",-3.1
Thailand,"28,725","33,176","43,230","56,217","42,583","34,526","34,542","38,137","34,926","57,136","33,908","40,548","477,654",1.1
Vietnam,"27,160","26,059","28,214","29,837","30,562","39,560","46,521","33,230","25,917","25,749","25,249","28,176","366,234",10.2
Hong Kong SAR,"39,000","30,416","35,154","47,141","33,091","36,897","50,113","48,138","34,584","38,630","36,704","42,299","472,167",1.7
Japan,"50,672","67,306","74,995","49,203","50,006","52,387","61,139","82,747","65,991","62,436","70,696","69,538","757,116",15.3
P R China,"201,742","158,002","182,348","173,543","139,946","122,630","201,652","206,734","128,830","170,529","177,112","171,109","2,034,177",29.0
South Korea,"45,933","45,397","34,077","31,252","33,018","34,394","42,524","47,383","31,247","34,713","34,014","31,232","445,184",7.3
Taiwan,"27,457","27,260","21,401","22,999","20,607","21,006","33,511","27,903","18,385","20,456","20,223","20,995","282,203",18.3
India,"57,265","61,815","65,547","76,035","124,147","93,694","68,749","63,579","58,748","72,348","74,794","78,272","894,993",3.0
UK,"40,128","47,132","52,109","38,477","26,725","25,647","31,195","34,338","34,849","38,074","39,509","38,314","446,497",0.9
Australia,"94,946","63,878","70,960","81,927","72,641","92,951","105,570","79,292","100,891","100,138","83,972","103,207","1,050,373",9.9
